city,timestamp,temperature,season
New York,2010-01-01,3.4901010762785405,winter
New York,2010-01-02,-6.536447129093586,winter
New York,2010-01-03,3.2434285405440604,winter
New York,2010-01-04,-4.958502257559829,winter
New York,2010-01-05,-3.263340740121814,winter
New York,2010-01-06,-7.061880334748716,winter
New York,2010-01-07,0.6418932384042176,winter
New York,2010-01-08,3.4169174207917976,winter
New York,2010-01-09,-0.8126556128781932,winter
New York,2010-01-10,-6.323354944102059,winter
New York,2010-01-11,-10.482569579490457,winter
New York,2010-01-12,5.14463536451653,winter
New York,2010-01-13,-1.2346928066743428,winter
New York,2010-01-14,2.454965265309625,winter
New York,2010-01-15,-1.3190159483360264,winter
New York,2010-01-16,3.5805760900890773,winter
New York,2010-01-17,10.782261162862042,winter
New York,2010-01-18,-2.100608459620829,winter
New York,2010-01-19,4.869967765770988,winter
New York,2010-01-20,-4.633234216626184,winter
New York,2010-01-21,-3.2635880665289236,winter
New York,2010-01-22,0.3856859927647691,winter
New York,2010-01-23,4.694035677370674,winter
New York,2010-01-24,5.497189348821378,winter
New York,2010-01-25,-3.15361903931549,winter
New York,2010-01-26,6.2122600506548356,winter
New York,2010-01-27,-1.8252310303357222,winter
New York,2010-01-28,-6.7352535666105595,winter
New York,2010-01-29,-4.496920696129377,winter
New York,2010-01-30,1.0365838282683626,winter
New York,2010-01-31,2.1093526205137065,winter
New York,2010-02-01,-1.1377467565034562,winter
New York,2010-02-02,-1.7587227851020828,winter
New York,2010-02-03,-0.6520701298635435,winter
New York,2010-02-04,5.63732342297423,winter
New York,2010-02-05,-2.3022047480103742,winter
New York,2010-02-06,-10.799903622756817,winter
New York,2010-02-07,-1.8901123477573392,winter
New York,2010-02-08,4.697420809408284,winter
New York,2010-02-09,-4.8971698827261365,winter
New York,2010-02-10,-3.5044189240771066,winter
New York,2010-02-11,1.2818100550558351,winter
New York,2010-02-12,-0.6156649910644972,winter
New York,2010-02-13,-2.0202503159807463,winter
New York,2010-02-14,-2.4858536832115914,winter
New York,2010-02-15,-13.711869436839969,winter
New York,2010-02-16,-6.4566010269177365,winter
New York,2010-02-17,-6.3950746414833946,winter
New York,2010-02-18,-3.07758578241013,winter
New York,2010-02-19,-10.526926397611334,winter
New York,2010-02-20,-0.2988637711646631,winter
New York,2010-02-21,6.360609196289149,winter
New York,2010-02-22,-1.2234631291319293,winter
New York,2010-02-23,2.1823324775878383,winter
New York,2010-02-24,-0.3958523682600021,winter
New York,2010-02-25,-7.420571769752672,winter
New York,2010-02-26,-2.2816503296536776,winter
New York,2010-02-27,-0.43440096636632175,winter
New York,2010-02-28,-6.434827580186812,winter
New York,2010-03-01,14.447482321200184,spring
New York,2010-03-02,12.449082962726571,spring
New York,2010-03-03,15.983472639272554,spring
New York,2010-03-04,15.351601961494522,spring
New York,2010-03-05,10.927856732188792,spring
New York,2010-03-06,8.866072362338468,spring
New York,2010-03-07,5.874275931096225,spring
New York,2010-03-08,1.2368529394330974,spring
New York,2010-03-09,10.985094630897807,spring
New York,2010-03-10,7.242735655822477,spring
New York,2010-03-11,10.92520451892896,spring
New York,2010-03-12,12.399828583683595,spring
New York,2010-03-13,4.0932238277113395,spring
New York,2010-03-14,16.778267984408107,spring
New York,2010-03-15,8.181879275199972,spring
New York,2010-03-16,-2.5291220012312987,spring
New York,2010-03-17,12.09992286361915,spring
New York,2010-03-18,7.468651088581794,spring
New York,2010-03-19,9.000757446833726,spring
New York,2010-03-20,7.549462174361949,spring
New York,2010-03-21,9.868404721827032,spring
New York,2010-03-22,9.094248456818255,spring
New York,2010-03-23,16.485077655986075,spring
New York,2010-03-24,6.121764669424445,spring
New York,2010-03-25,10.538472131232076,spring
New York,2010-03-26,9.47686667204095,spring
New York,2010-03-27,9.951246193882717,spring
New York,2010-03-28,9.215347991305563,spring
New York,2010-03-29,12.00912907531498,spring
New York,2010-03-30,3.6299142586358926,spring
New York,2010-03-31,8.370149033021127,spring
New York,2010-04-01,16.514179219130032,spring
New York,2010-04-02,11.32936519741845,spring
New York,2010-04-03,-0.5613537231721089,spring
New York,2010-04-04,8.829429072766416,spring
New York,2010-04-05,12.223813172100527,spring
New York,2010-04-06,12.480940879558334,spring
New York,2010-04-07,2.1311665231036523,spring
New York,2010-04-08,6.070474754713668,spring
New York,2010-04-09,11.553613499136793,spring
New York,2010-04-10,4.980361180781249,spring
New York,2010-04-11,8.531046574119127,spring
New York,2010-04-12,10.360081235494384,spring
New York,2010-04-13,9.098724265421025,spring
New York,2010-04-14,7.687056271339077,spring
New York,2010-04-15,7.341942458590094,spring
New York,2010-04-16,13.49450974330168,spring
New York,2010-04-17,6.696996054969191,spring
New York,2010-04-18,11.978030393685296,spring
New York,2010-04-19,0.42619986323192416,spring
New York,2010-04-20,14.410948524989255,spring
New York,2010-04-21,12.549829170824738,spring
New York,2010-04-22,13.968193773040197,spring
New York,2010-04-23,16.225056217850536,spring
New York,2010-04-24,2.331728109175435,spring
New York,2010-04-25,7.426186201735464,spring
New York,2010-04-26,5.264665003284164,spring
New York,2010-04-27,2.470217085895614,spring
New York,2010-04-28,13.266524234148697,spring
New York,2010-04-29,6.8959236433024005,spring
New York,2010-04-30,16.0375846479699,spring
New York,2010-05-01,6.1969473610055035,spring
New York,2010-05-02,8.425238958582076,spring
New York,2010-05-03,18.106142107039084,spring
New York,2010-05-04,13.949538226244005,spring
New York,2010-05-05,10.18392695054343,spring
New York,2010-05-06,17.506668783893897,spring
New York,2010-05-07,1.175261734162426,spring
New York,2010-05-08,18.00641488774652,spring
New York,2010-05-09,5.723909747922897,spring
New York,2010-05-10,8.739653984818924,spring
New York,2010-05-11,10.812353919611049,spring
New York,2010-05-12,10.583762969949985,spring
New York,2010-05-13,9.905294678927692,spring
New York,2010-05-14,7.500116960677628,spring
New York,2010-05-15,7.868704493986602,spring
New York,2010-05-16,-1.4301763448584048,spring
New York,2010-05-17,10.04503360672417,spring
New York,2010-05-18,5.391004444758398,spring
New York,2010-05-19,1.889710191989935,spring
New York,2010-05-20,18.39129691479008,spring
New York,2010-05-21,11.665123293987985,spring
New York,2010-05-22,12.90289576161824,spring
New York,2010-05-23,12.5764022327551,spring
New York,2010-05-24,10.002801453477321,spring
New York,2010-05-25,-2.236272281369307,spring
New York,2010-05-26,5.262368954097198,spring
New York,2010-05-27,17.176053538026757,spring
New York,2010-05-28,12.01746087259424,spring
New York,2010-05-29,9.535509219631807,spring
New York,2010-05-30,11.344303228383401,spring
New York,2010-05-31,10.982421270827675,spring
New York,2010-06-01,25.093256445002098,summer
New York,2010-06-02,28.135577899716363,summer
New York,2010-06-03,26.252844133365848,summer
New York,2010-06-04,20.28340777824915,summer
New York,2010-06-05,27.738728316266393,summer
New York,2010-06-06,25.86362255430891,summer
New York,2010-06-07,27.224283447436328,summer
New York,2010-06-08,21.43495678186865,summer
New York,2010-06-09,31.015027975636414,summer
New York,2010-06-10,39.21896648809616,summer
New York,2010-06-11,24.43337088786784,summer
New York,2010-06-12,30.52780751311275,summer
New York,2010-06-13,21.08752733115595,summer
New York,2010-06-14,21.750239685008488,summer
New York,2010-06-15,23.539217528961153,summer
New York,2010-06-16,24.35997435774643,summer
New York,2010-06-17,28.037714050076787,summer
New York,2010-06-18,27.740728682364285,summer
New York,2010-06-19,30.42997872184629,summer
New York,2010-06-20,25.367958451131763,summer
New York,2010-06-21,20.7275753124589,summer
New York,2010-06-22,25.00750341710775,summer
New York,2010-06-23,27.487312594892774,summer
New York,2010-06-24,23.28316873250286,summer
New York,2010-06-25,26.978923038746462,summer
New York,2010-06-26,26.47718010483462,summer
New York,2010-06-27,32.232272081485974,summer
New York,2010-06-28,20.092647775581064,summer
New York,2010-06-29,26.108580005048648,summer
New York,2010-06-30,24.31801578927208,summer
New York,2010-07-01,22.431051201837093,summer
New York,2010-07-02,25.42756938037546,summer
New York,2010-07-03,22.15667737848542,summer
New York,2010-07-04,24.74949546672729,summer
New York,2010-07-05,24.61768647853992,summer
New York,2010-07-06,24.64900996073373,summer
New York,2010-07-07,24.434017662498487,summer
New York,2010-07-08,18.659733213920344,summer
New York,2010-07-09,16.951277338425534,summer
New York,2010-07-10,12.782466514853724,summer
New York,2010-07-11,27.790921878858633,summer
New York,2010-07-12,26.479318896435487,summer
New York,2010-07-13,27.738578826408116,summer
New York,2010-07-14,35.4078342532485,summer
New York,2010-07-15,23.11464334500869,summer
New York,2010-07-16,31.339406262486964,summer
New York,2010-07-17,38.81058206376891,summer
New York,2010-07-18,23.358009599013315,summer
New York,2010-07-19,24.655036940281665,summer
New York,2010-07-20,27.274003604469808,summer
New York,2010-07-21,23.575550586341365,summer
New York,2010-07-22,23.536017833822797,summer
New York,2010-07-23,28.168198020541276,summer
New York,2010-07-24,31.516951327116452,summer
New York,2010-07-25,23.77358813699165,summer
New York,2010-07-26,18.660770382853592,summer
New York,2010-07-27,22.030783018916438,summer
New York,2010-07-28,34.362341091040854,summer
New York,2010-07-29,17.399324571929622,summer
New York,2010-07-30,28.058599009437824,summer
New York,2010-07-31,19.967822371226774,summer
New York,2010-08-01,20.38964164188531,summer
New York,2010-08-02,23.241064290502873,summer
New York,2010-08-03,20.62908251376464,summer
New York,2010-08-04,20.02622094263623,summer
New York,2010-08-05,30.66960622242536,summer
New York,2010-08-06,25.760975965753964,summer
New York,2010-08-07,30.985911323807844,summer
New York,2010-08-08,29.633517007545027,summer
New York,2010-08-09,20.60473386782589,summer
New York,2010-08-10,31.188763781123917,summer
New York,2010-08-11,17.572860047647364,summer
